Complexity,Loss,Equation
1,1.1977113,"3.3521092"
3,0.7855274,"x1 * 0.31818783"
4,0.7418939,"exp(x1 * 0.104973935)"
5,0.5848674,"x2 * (x1 * 0.030977158)"
6,0.55489683,"exp(x1 * 0.08870399) + 0.7765082"
7,0.4500742,"((x2 * x1) * 0.022164788) + 1.0458268"
8,0.38558555,"exp((x2 * 0.0081979865) * x1) + 0.8818955"
11,0.3441259,"((((x1 * x2) * 0.0018601045) + -0.16809471) * x1) + 2.8695457"
12,0.3433963,"((sin(x1 * (x2 * 0.0018933323)) + -0.16694264) * x1) + 2.8283129"
14,0.34319785,"((sin(((x1 * 0.001551447) * x2) * 1.2276739) + -0.16694264) * x1) + 2.8283129"
18,0.34290135,"(x1 * -1.1407006) + (((x1 + inv(x1)) + 2.3141568) * (((x2 * x1) * 0.0016030187) + 1.0048194))"
20,0.34275493,"((x1 * -0.10537786) + 2.3924828) + (inv(x1) + ((x1 * ((x2 * 0.0018798541) + -0.0025239966)) * (x1 + -0.038266826)))"
