Complexity,Loss,Equation
1,1.1977113,"3.3521092"
3,0.7855274,"x1 * 0.31819633"
4,0.7418919,"exp(x1 * 0.10500474)"
5,0.53627497,"(x1 + x2) * 0.16567403"
7,0.4500742,"((x2 * x1) * 0.022164704) + 1.0458368"
8,0.38483682,"exp((x1 * 0.0083325) * x2) + 0.8324504"
10,0.3843699,"exp(((x2 + 0.19359148) * 0.00808509) * x1) + 0.8553073"
11,0.34412587,"(x1 * (((x1 * x2) * 0.0018600588) + -0.1680906)) + 2.8695328"
12,0.3431257,"(x1 * (sin((x2 * 0.0019974967) * x1) + -0.18459536)) + 2.9075842"
13,0.34265175,"2.9075842 + (x1 * sin(sin(0.0019974967 * (x1 * x2)) + -0.18459536))"
16,0.33657575,"(x1 * (((x2 * (x1 + sin(x2 * -0.47471917))) * 0.0019057932) + -0.1845955)) + 2.9075842"
17,0.32931635,"(x1 * (sin((x2 * 0.0019057932) * (x1 + sin(x2 * 0.7201887))) + -0.1845955)) + 2.9075842"
18,0.31876934,"(((x1 * (exp(x2 * 0.18784542) * -0.00690987)) * ((x1 * -1.3522786) + x2)) + x2) * 0.26745114"
20,0.31826013,"(((exp(x2 * 0.18509898) * ((x1 + 0.8472381) * (x2 + (x1 * -1.350913)))) * -0.006661606) + x2) * 0.26849884"
