Complexity,Loss,Equation
1,1.1977113,"3.352085"
3,0.7855274,"x1 * 0.31818783"
4,0.74189425,"exp(x1 * 0.104971796)"
5,0.53627497,"(x1 + x2) * 0.16567826"
6,0.5003197,"exp(0.061843265 * (x2 + x1))"
7,0.4500742,"((x1 * 0.022164283) * x2) + 1.045887"
8,0.40852588,"exp(((x2 + x1) * 0.069084294) + -0.24342649)"
9,0.3927338,"(((x1 * 0.0011562757) * x2) * x1) + 1.9928025"
11,0.35956612,"(x1 * (x1 * ((x2 * 0.0019341358) + -0.008656308))) + 2.0743906"
13,0.3575374,"((((x2 * 0.002402759) + -0.012386171) * x1) * (x1 + -3.1655364)) + 2.3363438"
