Complexity,Loss,Equation
1,1.1977113,"3.3521092"
3,0.7855274,"x1 * 0.31819633"
4,0.741892,"exp(x1 * 0.10500644)"
5,0.536275,"(x1 + x2) * 0.16567485"
6,0.43919596,"exp((x1 + x2) * 0.057800304)"
8,0.4173194,"exp((x1 + (x2 * 0.7181033)) * 0.06732789)"
10,0.39240208,"(x1 * (x2 * 0.027218696)) + (inv(x1) * 4.483057)"
12,0.38712382,"inv(x1 * 0.2261206) + (((x2 * 0.023351235) + 0.041175723) * x1)"
13,0.35022387,"exp((x1 * 0.07848897) + 0.8709628) + ((x1 * -2.10537) * inv(x2))"
15,0.35015148,"((1.0049825 * x1) * (inv(x2) * -2.10537)) + exp((x1 * 0.07848899) + 0.8724207)"
16,0.3405779,"exp((((x1 * 0.14157201) + ((inv(x2) * x1) * -0.6359779)) + inv(x1)) + 0.27498543)"
