Complexity,Loss,Equation
1,1.1977113,"3.3520968"
3,0.7855274,"x1 * 0.31819886"
4,0.741892,"exp(x1 * 0.10500621)"
5,0.5848674,"(x1 * x2) * 0.030977158"
6,0.55488336,"exp(x1 * 0.0887281) + 0.7728669"
7,0.4500742,"(x1 * (x2 * 0.022164997)) + 1.0458021"
8,0.39086092,"exp(x1 * (x2 * 0.008043883)) + 0.96802"
10,0.36749384,"(x2 * (exp(x1 * 0.1088492) * 0.06482063)) + 1.1924163"
11,0.3667456,"((x2 * ((x1 * x1) + 69.74486)) * 0.001172578) + 1.0954317"
12,0.35994995,"(x2 * (exp(0.10533621 * x1) * 0.068875924)) + exp(inv(x1))"
13,0.35915592,"((x2 * exp((x1 * 0.109965526) + inv(x1))) * 0.06238959) + 1.026901"
15,0.3571582,"((x2 * -0.01075059) + -0.04476498) * (((x1 * (x1 * -0.12244873)) + x1) + -17.583874)"
16,0.34496653,"((x2 * exp(x1 * (inv(sin(x2) + x1) + 0.105698176))) * 0.025266828) + 1.0601548"
18,0.3432455,"((x2 * exp((inv(sin(-0.15062325 + x2) + x1) + 0.105698176) * x1)) * 0.025266828) + 1.0601548"
19,0.33333862,"((x2 * 0.025266828) * exp((inv(x1 + sin(x2 * sin(-0.798169))) + 0.105698176) * x1)) + 1.0601548"
20,0.32974383,"((x2 * exp((inv(x1 + (sin(x2 * -0.69633794) + 0.009455927)) + 0.10327813) * x1)) * 0.026619276) + 0.97182906"
