Complexity,Loss,Equation
1,1.1977113,"3.3521092"
2,0.771531,"sqrt(x1)"
4,0.7142,"sqrt(x1) / 0.93000245"
5,0.53627497,"(x1 + x2) / 6.0358934"
6,0.43457702,"exp((x2 + x1) * 0.05867922)"
7,0.43217558,"log(x2) + (cube(x1) * 0.00068701344)"
8,0.37809938,"(square(x1 * x2) * 0.000100123594) + 2.1157033"
9,0.3635981,"log(x2) + ((cube(x1) * 6.7336994e-5) * x2)"
10,0.34454644,"log(x2) + (x2 * cube(sin(x1 * 0.04398106)))"
11,0.33898416,"log(exp((x1 + -4.367658) * (x2 * 0.042169746)) + x2)"
12,0.33818963,"log(x2 + exp(sin((x1 + -4.843884) * 0.046056166) * x2))"
13,0.33130115,"(cube(sin(x1 * 0.04382881)) * x2) + log(x2 - sin(x2))"
14,0.32074705,"(x2 * cube(sin(x1 * 0.043800782))) + (1.5923842 - cos(x2 * 0.2436814))"
15,0.3131184,"(square(cos(x2 * -0.2554577)) + 1.6689303) + (x2 * cube(sin(x1 * 0.043658823)))"
16,0.31232068,"((x2 * sin(cube(sin(x1 * 0.043960772)))) + square(cos(x2 * -0.25568038))) + 1.6554087"
17,0.30785066,"(cube(sin(x1 * 0.06767456) + -0.24464443) * x2) + (square(cos(x2 * 0.2521141)) + 1.8336288)"
19,0.3068622,"square(cos(x2 * 0.2521141) + -0.076904505) + ((cube(sin(x1 * 0.06876393) + -0.25467488) * x2) + 1.7212037)"
