Complexity,Loss,Equation
1,1.1977113,"3.3520796"
2,0.771531,"sqrt(x1)"
4,0.7142,"sqrt(x1 * 1.1560607)"
5,0.536275,"(x2 + x1) * 0.16567485"
7,0.45007417,"((x1 * x2) * 0.022164049) - -1.0459155"
8,0.3857026,"exp(x2 * (x1 * 0.008187394)) + 0.88286626"
10,0.36103562,"(square(x2 * (3.534472 - x1)) * 0.00015591441) + 2.4229007"
11,0.3441259,"(x1 * (((x2 * x1) * 0.0018601133) - 0.16809821)) + 2.8695612"
13,0.34404,"((-0.16787064 - ((-0.0008552242 - (x1 * 0.0018174461)) * x2)) * x1) + 2.8296087"
14,0.33580345,"(x1 * (-0.14067395 - (((sin(x2) - x1) * x2) * 0.0017082157))) + 2.7290995"
15,0.3355666,"(x1 * (-0.14067395 - (0.0017082157 * ((sin(sin(x2)) - x1) * x2)))) + 2.7290995"
18,0.3328432,"((((x1 - sin(x2 + -0.46629986)) * 0.0016679977) * (x2 * x1)) + 2.6976223) - (x1 * 0.13097993)"
20,0.32635486,"((x2 * x1) * ((x1 - sin((x2 + 1.1154552) * -0.6274444)) * 0.001698336)) + (2.7237592 - (x1 * 0.14311028))"
28,0.32559276,"(((cos(x2) - (((sin(x2) + 0.0090834275) - ((x1 * x1) * 0.18624896)) + sin(x2))) * ((x2 / 0.5902836) * 0.0053404495)) - (x1 * 0.13132142)) + 2.6775684"
29,0.3255337,"(((x2 / 0.570717) * (0.0050024325 * (cos(x2) - ((sin(x2) + (-0.034847952 - ((x1 * x1) * 0.19245262))) + tan(sin(x2)))))) - (x1 * 0.13265155)) + 2.6807895"
30,0.32550594,"(((x2 / 0.5821688) * ((cos(x2) - (sin(x2) + ((-0.032532625 - ((x1 * x1) * 0.19684401)) + tan(sin(sin(x2)))))) * 0.004995629)) - (x1 * 0.13207276)) + 2.6752849"
